Gauge,25yr,50yr,100yr,25yr_a31,50yr_a31,100yr_a31,25yr_b31,50yr_b31,100yr_b31
23,74.78367842,87.40155312,101.0642487,69.67189364,80.05115255,91.02035236,79.62615042,93.79800018,109.1159258
24,71.65899817,83.69778919,96.63720874,66.36536591,76.56524414,87.45496251,76.20451084,89.40646429,103.5102319
25,74.43866332,86.69946114,99.8297215,69.14485131,79.52217805,90.54735834,78.99006983,92.46536527,106.8254084
26,74.70333048,87.03949497,100.1923656,71.67375839,82.37208284,93.55562132,77.52624483,91.22488704,105.8491934
27,78.55095734,92.41592157,107.3439544,71.04525497,82.13795354,93.90731444,85.0385957,100.5200977,117.0541662
28,78.6867867,92.92811208,108.1800022,68.24190208,79.43205166,91.46518604,86.67298955,102.2787957,118.7982082
29,75.71818945,89.22882627,103.8773858,64.31410266,73.87047584,83.83152554,84.73516265,100.1175144,116.6864704
30,73.37565918,85.41465997,98.21600701,65.83330212,75.58961418,85.8319395,79.41276926,92.69156353,106.7170505
31,73.65159784,86.92953456,101.3287853,65.71121497,76.36043375,87.73898911,80.16393484,94.95403769,110.9465051
32,80.04616282,95.10821291,111.3105705,69.13683027,80.3248858,92.07230946,89.04104495,106.0354525,124.1421109
33,78.43435177,92.71453617,108.0059139,68.37546761,79.34343103,90.95281227,86.51191973,102.4097639,119.2749523
34,72.19481159,84.26456388,97.132853,65.43115542,75.31721753,85.82520006,77.74476049,91.02339318,105.0460369
35,72.75002087,84.83323803,97.75874692,65.27670727,74.6747568,84.49289409,79.13863485,92.71467995,107.1350657
36,73.26030469,85.06114891,97.53464986,67.98167159,78.13644545,88.79999525,77.6687986,90.5045723,104.0049083
37,77.55393774,90.97500565,105.4108448,70.25572928,81.72191655,94.12312536,83.47943858,97.92558569,113.3305982
38,74.80560609,88.2418396,102.9963861,66.44254195,76.87673075,87.89157126,81.77642587,97.105938,113.9488317
39,78.16323148,92.13065116,107.2153459,69.25966902,79.97749242,91.22059854,85.86326392,101.6506056,118.6116456
40,80.49514551,95.11386584,110.9808902,69.09324796,79.82265131,91.02789638,89.82961505,106.4054419,124.319874
41,78.26609137,92.12139739,107.0497608,68.91691709,79.61006456,90.86254504,86.12806059,101.6674313,118.3091699
42,70.1800261,81.25128163,92.94036276,64.19067812,73.74382936,83.79057565,74.92948617,86.85417934,99.41054357
43,75.41079091,88.59612786,102.9908661,71.02481524,82.17474793,93.90162227,79.30111704,94.2040197,110.6820226
44,76.79281106,90.50830513,105.6459797,67.24789199,77.25736752,87.70396599,85.03834913,100.9496831,118.5491475
45,72.45815167,84.30569778,96.81290408,64.39752377,74.00065239,84.01689226,78.84289865,91.80928301,105.4309825
46,76.01531378,89.30032702,103.5505869,67.12810737,77.2932653,87.99765845,83.39540215,98.30872782,114.1721626
47,76.22405472,89.99949342,105.0480321,67.5858456,78.00175326,89.10656049,83.72074919,99.36670738,116.3198271
48,78.50689778,93.25021765,109.6546022,71.76714754,83.88475776,97.47410052,84.30806725,100.5882199,118.3715566
49,76.56220983,90.10406622,104.8151712,70.25151076,81.35645124,93.37331034,82.34350544,97.3149787,113.3885171
50,80.93495407,96.58627823,114.8165106,76.34680653,88.52783224,101.5872678,85.65651573,104.7159477,127.4963337
51,73.89370712,86.94784306,101.2021159,67.85106201,78.8917614,90.473162,78.9528745,93.54455802,109.7658976
52,75.72269169,88.75589213,102.8706017,71.4677171,82.57679834,94.21244714,79.69408025,94.26863607,110.2282088
53,83.161294,97.82099201,113.5386318,73.00845695,84.4274349,96.46091282,91.36469467,107.6834232,125.0741267
54,78.8191803,92.64485218,107.8708178,72.68445901,83.40285031,94.56094254,84.62873697,100.8932522,118.864613
55,80.32218876,94.96785847,110.9372442,68.66664506,79.89239073,92.06682129,89.27089423,105.4764219,123.108954
56,80.28179687,93.31030924,107.1153762,72.25947955,83.4930241,95.28275755,86.32454716,100.3632958,115.2596906
